TUB-025-010050	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-010069		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-015025	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-015027	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-015037	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-015056		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-020023	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-020041	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-020071	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-020083		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-025035		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-030034	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-030040	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-030062	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-030066		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-030999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-040018	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-040045	Sch 40	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-040052	Sch 120	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-040053	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-040058		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-040999		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-060014	Sch 80	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-060043	Sch 120	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-060048	Sch 160	TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
TUB-025-060051		TUBO METÁLICO; AC; A106 GR B; S/C; PC; B36.10
